HNH,Alaska,US02
HNM,Hawaii,US15
HNS,Alaska,US02
HBB,New Mexico,US35
HOB,New Mexico,US35
HOM,Alaska,US02
HON,South Dakota,US46
HPB,Alaska,US02
HRL,Texas,US48
HRO,Arkansas,US05
HSL,Alaska,US02
HUS,Alaska,US02
ZVE,Connecticut,US09
HVN,Connecticut,US09
HVR,Montana,US30
HYA,Massachusetts,US25
HYG,Alaska,US02
HYL,Alaska,US02
IAN,Alaska,US02
IDA,Idaho,US16
IFP,Arizona,US04
IGG,Alaska,US02
IGM,Arizona,US04
IKO,Alaska,US02
GRK,Texas,US48
HLR,Texas,US48
ILE,Texas,US48
ILI,Alaska,US02
IPT,Pennsylvania,US42
IRC,Alaska,US02
IRK,Missouri,US29
ISN,North Dakota,US38
ISP,New York,US36
ITH,New York,US36
ITO,Hawaii,US15
IWD,Michigan,US26
IYK,California,US06
JBR,Louisiana,US22
JHM,Hawaii,US15
JNU,Alaska,US02
KAE,Alaska,US02
KAL,Alaska,US02
KBC,Alaska,US02
KCC,Alaska,US02
KCQ,Alaska,US02
KCL,Alaska,US02
KCG,Alaska,US02
KBW,Alaska,US02
KEB,Alaska,US02
KEH,Washington,US53
KEK,Alaska,US02
KFP,Alaska,US02
KGK,Alaska,US02
KGX,Michigan,US26
KKA,Alaska,US02
KKH,Alaska,US02
KKI,Alaska,US02
KKU,Alaska,US02
KLG,Alaska,US02
KLL,Alaska,US02
KLW,Alaska,US02
KMO,Alaska,US02
KNK,Alaska,US02
KNW,Alaska,US02
KOT,Alaska,US02
KPB,Alaska,US02
KPC,Alaska,US02
KPN,Alaska,US02
KPV,Alaska,US02
KQA,Alaska,US02
KSM,Pennsylvania,US42
KTB,Alaska,US02
KTN,Alaska,US02
WFB,Alaska,US02
KTS,Alaska,US02
KUK,Alaska,US02
KVC,Alaska,US02
KVL,Alaska,US02
KWF,Alaska,US02
KWK,Alaska,US02
KWN,Alaska,US02
KWT,Alaska,US02
KXA,Alaska,US02
KYU,Alaska,US02
LAF,Ohio,US39
LAR,Wyoming,US56
REE,Texas,US48
LBB,Texas,US48
LBE,Pennsylvania,US42
LBF,Nebraska,US31
LBL,Kansas,US20
LEB,New Hampshire,US33
LGB,California,US06
JLB,California,US06
LMA,Alaska,US02
